EventType	EventName	Object1Id	Object2Id	ObjectValue	ObjectPosition	DateTime	SecondsSinceSessionStart
SessionStart		17	7f2a5c3bd1bba87de674a4d7ef1b6d31ea2da01b	4/20/2017 1:49:50 PM		4/20/2017 1:50:32 PM	36.8946
ClickButton	NumberedLines					4/20/2017 1:53:05 PM	190.5796
FractionGenerated	NumberedLines	line_1				4/20/2017 1:53:05 PM	190.5796
PressFraction	NumberedLines	line_1		0/0	(1.3125, -1)	4/20/2017 1:53:09 PM	194.2518
FractionTrashed	NumberedLines	line_1		0/0		4/20/2017 1:53:10 PM	195.6367
ReleaseFraction	NumberedLines	line_1		0/0	(-12.7, 8.1)	4/20/2017 1:53:10 PM	195.6367
ClickButton	LiquidMeasures					4/20/2017 1:53:13 PM	198.645
FractionGenerated	LiquidMeasures	liquid_2				4/20/2017 1:53:13 PM	198.645
FractionChange	Denominator	liquid_2		1		4/20/2017 1:53:16 PM	201.9961
FractionChange	Denominator	liquid_2		2		4/20/2017 1:53:17 PM	202.3322
FractionChange	Denominator	liquid_2		3		4/20/2017 1:53:20 PM	205.8042
FractionChange	Denominator	liquid_2		4		4/20/2017 1:53:20 PM	206.1078
FractionChange	Denominator	liquid_2		5		4/20/2017 1:53:21 PM	206.3973
FractionChange	Denominator	liquid_2		6		4/20/2017 1:53:22 PM	207.1713
FractionChange	Denominator	liquid_2		7		4/20/2017 1:53:22 PM	207.5484
FractionChange	Denominator	liquid_2		8		4/20/2017 1:53:22 PM	207.9724
PressFraction	LiquidMeasures	liquid_2		0/8	(1.9375, 0)	4/20/2017 1:53:24 PM	209.4202
ReleaseFraction	LiquidMeasures	liquid_2		0/8	(1.9375, 0)	4/20/2017 1:53:24 PM	209.5645
FractionChange	Numerator	liquid_2		1		4/20/2017 1:53:46 PM	231.7009
FractionChange	Numerator	liquid_2		2		4/20/2017 1:53:46 PM	232.0822
FractionChange	Numerator	liquid_2		3		4/20/2017 1:53:47 PM	232.4759
FractionChange	Numerator	liquid_2		4		4/20/2017 1:53:47 PM	232.8502
EndStateReached						4/20/2017 1:53:50 PM	235.8519
PopupAfterTaskReflection						4/20/2017 1:54:15 PM	260.3395
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 1:54:44 PM		4/20/2017 1:54:44 PM	289.6988
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 1:55:07 PM		4/20/2017 1:55:07 PM	312.7465
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 1:55:24 PM		4/20/2017 1:55:24 PM	329.4497
ClickButton	Shape/HRects					4/20/2017 1:57:05 PM	430.5416
FractionGenerated	HRects	hrect_3				4/20/2017 1:57:05 PM	430.5416
FractionChange	Denominator	hrect_3		1		4/20/2017 1:57:07 PM	432.6046
FractionChange	Denominator	hrect_3		2		4/20/2017 1:57:08 PM	433.6367
FractionChange	Denominator	hrect_3		3		4/20/2017 1:57:08 PM	434.063
FractionChange	Denominator	hrect_3		4		4/20/2017 1:57:09 PM	434.4767
FractionChange	Denominator	hrect_3		5		4/20/2017 1:57:09 PM	434.9268
FractionChange	Denominator	hrect_3		6		4/20/2017 1:57:10 PM	435.3248
FractionChange	Denominator	hrect_3		7		4/20/2017 1:57:10 PM	435.8049
FractionChange	Denominator	hrect_3		8		4/20/2017 1:57:11 PM	436.471
FractionChange	Denominator	hrect_3		9		4/20/2017 1:57:13 PM	438.3899
FractionChange	Denominator	hrect_3		10		4/20/2017 1:57:13 PM	438.6779
FractionChange	Denominator	hrect_3		11		4/20/2017 1:57:13 PM	438.958
FractionChange	Denominator	hrect_3		12		4/20/2017 1:57:14 PM	439.2529
FractionChange	Denominator	hrect_3		13		4/20/2017 1:57:14 PM	439.5819
FractionChange	Denominator	hrect_3		14		4/20/2017 1:57:14 PM	439.87
FractionChange	Denominator	hrect_3		15		4/20/2017 1:57:15 PM	440.2049
FractionChange	Denominator	hrect_3		16		4/20/2017 1:57:15 PM	440.517
FractionChange	Denominator	hrect_3		17		4/20/2017 1:57:15 PM	440.9269
FractionChange	Denominator	hrect_3		18		4/20/2017 1:57:16 PM	441.293
PressFraction	HRects	hrect_3		0/18	(1.125, -1)	4/20/2017 1:57:19 PM	445.085
ReleaseFraction	HRects	hrect_3		0/18	(1.125, -1)	4/20/2017 1:57:20 PM	445.1902
FractionChange	Numerator	hrect_3		1		4/20/2017 1:57:21 PM	446.3181
FractionChange	Numerator	hrect_3		2		4/20/2017 1:57:21 PM	446.8604
FractionChange	Numerator	hrect_3		3		4/20/2017 1:57:22 PM	447.1813
EndStateReached						4/20/2017 1:57:25 PM	450.1833
PressFraction	HRects	hrect_3		3/18	(1.125, -1)	4/20/2017 1:58:33 PM	518.6422
ReleaseFraction	HRects	hrect_3		3/18	(0.03333334, -0.1666667)	4/20/2017 1:58:36 PM	521.2433
EndStateReached						4/20/2017 1:58:36 PM	521.6451
EndStateReached						4/20/2017 1:58:39 PM	524.2463
PressFraction	HRects	hrect_3		3/18	(0.03333334, -0.1666667)	4/20/2017 1:59:53 PM	598.9465
FractionChange	Numerator	hrect_3		4		4/20/2017 1:59:53 PM	599.0807
ReleaseFraction	HRects	hrect_3		4/18	(0.03333333, -0.1666667)	4/20/2017 1:59:53 PM	599.0807
FractionChange	Numerator	hrect_3		5		4/20/2017 1:59:55 PM	600.9856
EndStateReached						4/20/2017 1:59:56 PM	601.9485
FractionChange	Numerator	hrect_3		4		4/20/2017 2:00:02 PM	607.5688
FractionChange	Numerator	hrect_3		3		4/20/2017 2:00:03 PM	608.8569
EndStateReached						4/20/2017 2:00:06 PM	611.8579
PopupAfterTaskReflection						4/20/2017 2:00:10 PM	615.6649
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 2:00:12 PM		4/20/2017 2:00:12 PM	617.9442
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 2:00:18 PM		4/20/2017 2:00:18 PM	623.4402
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	让我乐在其中	4/20/2017 2:01:05 PM		4/20/2017 2:01:05 PM	670.7828
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 2:01:12 PM		4/20/2017 2:01:12 PM	678.0488
ClickButton	OpenTaskDescription					4/20/2017 2:01:40 PM	705.7745
ClickButton	NumberedLines					4/20/2017 2:01:43 PM	708.7906
FractionGenerated	NumberedLines	line_4				4/20/2017 2:01:43 PM	708.7906
FractionChange	Denominator	line_4		1		4/20/2017 2:01:45 PM	710.3438
FractionChange	Denominator	line_4		2		4/20/2017 2:01:45 PM	710.6857
FractionChange	Denominator	line_4		3		4/20/2017 2:01:45 PM	710.8707
FractionChange	Denominator	line_4		4		4/20/2017 2:01:45 PM	711.0397
FractionChange	Denominator	line_4		5		4/20/2017 2:01:46 PM	711.2637
FractionChange	Denominator	line_4		6		4/20/2017 2:01:46 PM	711.4853
FractionChange	Denominator	line_4		7		4/20/2017 2:01:46 PM	711.7027
FractionChange	Denominator	line_4		8		4/20/2017 2:01:46 PM	711.9757
FractionChange	Denominator	line_4		9		4/20/2017 2:01:47 PM	712.2049
FractionChange	Denominator	line_4		10		4/20/2017 2:01:47 PM	712.4858
FractionChange	Denominator	line_4		11		4/20/2017 2:01:47 PM	712.8227
FractionChange	Denominator	line_4		12		4/20/2017 2:01:47 PM	713.0709
PressFraction	NumberedLines	line_4		0/12	(1.3125, 0)	4/20/2017 2:01:48 PM	713.7978
ReleaseFraction	NumberedLines	line_4		0/12	(1.3125, 0)	4/20/2017 2:01:48 PM	713.9189
FractionChange	Numerator	line_4		1		4/20/2017 2:01:50 PM	715.101
FractionChange	Numerator	line_4		2		4/20/2017 2:01:50 PM	715.606
FractionChange	Numerator	line_4		3		4/20/2017 2:01:50 PM	715.8529
FractionChange	Numerator	line_4		4		4/20/2017 2:01:50 PM	716.0619
FractionChange	Numerator	line_4		5		4/20/2017 2:01:51 PM	716.2468
FractionChange	Numerator	line_4		6		4/20/2017 2:01:51 PM	716.446
FractionChange	Numerator	line_4		7		4/20/2017 2:01:51 PM	716.622
FractionChange	Numerator	line_4		8		4/20/2017 2:01:51 PM	716.791
ClickButton	OpenTaskDescription					4/20/2017 2:02:04 PM	729.3172
PressFraction	NumberedLines	line_4		8/12	(1.3125, 0)	4/20/2017 2:02:10 PM	736.0694
ReleaseFraction	NumberedLines	line_4		8/12	(1.3125, 0)	4/20/2017 2:02:11 PM	736.1974
FractionChange	Numerator	line_4		9		4/20/2017 2:02:12 PM	737.8776
EndStateReached						4/20/2017 2:02:15 PM	740.8795
PopupAfterTaskReflection						4/20/2017 2:02:17 PM	742.7896
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 2:02:21 PM		4/20/2017 2:02:21 PM	746.91
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 2:02:22 PM		4/20/2017 2:02:22 PM	747.86
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 2:02:23 PM		4/20/2017 2:02:23 PM	748.8878
ClickButton	LiquidMeasures					4/20/2017 2:02:39 PM	764.7493
FractionGenerated	LiquidMeasures	liquid_5				4/20/2017 2:02:39 PM	764.7493
FractionChange	Denominator	liquid_5		1		4/20/2017 2:02:41 PM	766.4202
FractionChange	Denominator	liquid_5		2		4/20/2017 2:02:41 PM	766.6365
FractionChange	Denominator	liquid_5		3		4/20/2017 2:02:41 PM	766.8444
FractionChange	Denominator	liquid_5		4		4/20/2017 2:02:42 PM	767.2695
PressFraction	LiquidMeasures	liquid_5		0/4	(0.9375, 0)	4/20/2017 2:02:42 PM	767.9077
ReleaseFraction	LiquidMeasures	liquid_5		0/4	(0.9375, 0)	4/20/2017 2:02:42 PM	768.0373
FractionChange	Numerator	liquid_5		1		4/20/2017 2:02:43 PM	769.0755
FractionChange	Numerator	liquid_5		2		4/20/2017 2:02:44 PM	769.3554
FractionChange	Numerator	liquid_5		3		4/20/2017 2:02:44 PM	769.5635
ClickButton	Lab					4/20/2017 2:02:47 PM	772.4764
PressFraction	LiquidMeasures	liquid_5		3/4	(0.9375, 0)	4/20/2017 2:02:48 PM	773.3965
FractionPlaced	EqOp1	liquid_5		3/4		4/20/2017 2:02:49 PM	774.3166
ReleaseFraction	LiquidMeasures	liquid_5		3/4	(0.9375, 0)	4/20/2017 2:02:49 PM	774.3166
PressFraction	LiquidMeasures	liquid_5		3/4	(0.9375, 0)	4/20/2017 2:02:50 PM	776.0036
FractionTrashed	LiquidMeasures	liquid_5		3/4		4/20/2017 2:02:52 PM	777.4046
ReleaseFraction	LiquidMeasures	liquid_5		3/4	(-11.9, 8.666667)	4/20/2017 2:02:52 PM	777.4046
ClickButton	Set/Stars					4/20/2017 2:02:56 PM	781.8289
FractionGenerated	StarSets	starset_6				4/20/2017 2:02:56 PM	781.8289
FractionChange	Denominator	starset_6		1		4/20/2017 2:02:58 PM	783.3327
FractionChange	Denominator	starset_6		2		4/20/2017 2:02:59 PM	784.6429
FractionChange	Denominator	starset_6		3		4/20/2017 2:02:59 PM	784.9089
FractionChange	Denominator	starset_6		4		4/20/2017 2:03:00 PM	785.1159
FractionChange	Denominator	starset_6		5		4/20/2017 2:03:00 PM	785.3069
FractionChange	Denominator	starset_6		6		4/20/2017 2:03:00 PM	785.4755
FractionChange	Denominator	starset_6		7		4/20/2017 2:03:00 PM	785.6608
FractionChange	Denominator	starset_6		8		4/20/2017 2:03:00 PM	785.8589
FractionChange	Denominator	starset_6		9		4/20/2017 2:03:01 PM	786.3311
FractionChange	Denominator	starset_6		10		4/20/2017 2:03:01 PM	786.7239
FractionChange	Denominator	starset_6		11		4/20/2017 2:03:02 PM	787.1329
FractionChange	Denominator	starset_6		12		4/20/2017 2:03:02 PM	787.5309
PressFraction	StarSets	starset_6		0/12	(0.28125, 0)	4/20/2017 2:03:03 PM	789.0289
ReleaseFraction	StarSets	starset_6		0/12	(0.28125, 0)	4/20/2017 2:03:04 PM	789.179
FractionChange	Numerator	starset_6		1		4/20/2017 2:03:05 PM	790.2111
PressFraction	StarSets	starset_6		1/12	(0.28125, 0)	4/20/2017 2:03:05 PM	790.9801
OperationResult	Equivalence			>		4/20/2017 2:03:08 PM	793.5551
FractionPlaced	EqOp2	starset_6		1/12		4/20/2017 2:03:08 PM	793.5551
ReleaseFraction	StarSets	starset_6		1/12	(0.28125, 0)	4/20/2017 2:03:08 PM	793.5551
EndStateReached						4/20/2017 2:03:11 PM	796.5573
EndStateReached						4/20/2017 2:03:11 PM	796.5573
EndStateReached						4/20/2017 2:03:11 PM	796.5573
PopupAfterTaskReflection						4/20/2017 2:03:12 PM	797.5946
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 2:03:14 PM		4/20/2017 2:03:14 PM	799.5314
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 2:03:16 PM		4/20/2017 2:03:16 PM	801.5554
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 2:03:17 PM		4/20/2017 2:03:17 PM	802.2216
ClickButton	Lab					4/20/2017 2:03:17 PM	802.2216
ClickButton	OpenTaskDescription					4/20/2017 2:03:28 PM	813.1306
ClickButton	LiquidMeasures					4/20/2017 2:03:32 PM	818.0369
FractionGenerated	LiquidMeasures	liquid_7				4/20/2017 2:03:32 PM	818.0369
FractionChange	Denominator	liquid_7		1		4/20/2017 2:03:34 PM	819.2907
FractionChange	Denominator	liquid_7		2		4/20/2017 2:03:34 PM	819.5068
FractionChange	Denominator	liquid_7		3		4/20/2017 2:03:34 PM	820.0659
PressFraction	LiquidMeasures	liquid_7		0/3	(1.9375, 0)	4/20/2017 2:03:35 PM	820.9299
ReleaseFraction	LiquidMeasures	liquid_7		0/3	(1.9375, 0)	4/20/2017 2:03:35 PM	821.0589
PressFraction	LiquidMeasures	liquid_7		0/3	(1.9375, 0)	4/20/2017 2:03:36 PM	821.6499
ReleaseFraction	LiquidMeasures	liquid_7		0/3	(1.9375, 0)	4/20/2017 2:03:36 PM	821.788
FractionChange	Numerator	liquid_7		1		4/20/2017 2:03:37 PM	822.482
PressFraction	LiquidMeasures	liquid_7		1/3	(1.9375, 0)	4/20/2017 2:03:38 PM	823.4669
FractionChange	Numerator	liquid_7		2		4/20/2017 2:03:38 PM	823.899
ReleaseFraction	LiquidMeasures	liquid_7		2/3	(1.9375, 0)	4/20/2017 2:03:38 PM	823.899
ClickButton	Lab					4/20/2017 2:03:39 PM	824.516
PressFraction	LiquidMeasures	liquid_7		2/3	(1.9375, 0)	4/20/2017 2:03:40 PM	825.5541
FractionPlaced	EqOp1	liquid_7		2/3		4/20/2017 2:03:41 PM	826.4512
ReleaseFraction	LiquidMeasures	liquid_7		2/3	(1.9375, 0)	4/20/2017 2:03:41 PM	826.4512
PressFraction	LiquidMeasures	liquid_7		2/3	(1.9375, 0)	4/20/2017 2:03:42 PM	827.9232
ReleaseFraction	LiquidMeasures	liquid_7		2/3	(1.9375, 0)	4/20/2017 2:03:42 PM	828.0821
FractionChange	Denominator	liquid_7		4		4/20/2017 2:03:43 PM	828.7703
FractionChange	Denominator	liquid_7		5		4/20/2017 2:03:44 PM	829.0991
PressFraction	LiquidMeasures	liquid_7		2/5	(1.9375, 0)	4/20/2017 2:03:45 PM	830.2283
ReleaseFraction	LiquidMeasures	liquid_7		2/5	(1.9375, 0)	4/20/2017 2:03:45 PM	830.3382
FractionChange	Numerator	liquid_7		1		4/20/2017 2:03:47 PM	833.0663
PressFraction	LiquidMeasures	liquid_7		1/5	(1.9375, 0)	4/20/2017 2:03:51 PM	836.1243
OperationResult	Equivalence			>		4/20/2017 2:03:51 PM	836.9794
FractionPlaced	EqOp2	liquid_7		1/5		4/20/2017 2:03:51 PM	836.9794
ReleaseFraction	LiquidMeasures	liquid_7		1/5	(1.9375, 0)	4/20/2017 2:03:51 PM	836.9794
ClickButton	Lab					4/20/2017 2:03:55 PM	840.9465
ClickButton	Lab					4/20/2017 2:03:56 PM	841.9306
PressFraction	LiquidMeasures	liquid_7		1/5	(1.9375, 0)	4/20/2017 2:03:58 PM	843.2675
FractionPlaced	EqOp1	liquid_7		1/5		4/20/2017 2:03:59 PM	844.7877
ReleaseFraction	LiquidMeasures	liquid_7		1/5	(1.9375, 0)	4/20/2017 2:03:59 PM	844.7877
PressFraction	LiquidMeasures	liquid_7		1/5	(1.9375, 0)	4/20/2017 2:04:00 PM	845.9695
ReleaseFraction	LiquidMeasures	liquid_7		1/5	(1.9375, 0)	4/20/2017 2:04:01 PM	846.1376
FractionChange	Denominator	liquid_7		4		4/20/2017 2:04:01 PM	846.9956
FractionChange	Denominator	liquid_7		3		4/20/2017 2:04:02 PM	847.4738
PressFraction	LiquidMeasures	liquid_7		1/3	(1.9375, 0)	4/20/2017 2:04:03 PM	848.6659
OperationResult	Equivalence			<		4/20/2017 2:04:04 PM	849.5309
FractionPlaced	EqOp2	liquid_7		1/3		4/20/2017 2:04:04 PM	849.5309
ReleaseFraction	LiquidMeasures	liquid_7		1/3	(1.9375, 0)	4/20/2017 2:04:04 PM	849.5309
EndStateReached						4/20/2017 2:04:07 PM	852.5327
EndStateReached						4/20/2017 2:04:07 PM	852.5327
EndStateReached						4/20/2017 2:04:07 PM	852.5327
PopupAfterTaskReflection						4/20/2017 2:04:08 PM	853.7958
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 2:04:10 PM		4/20/2017 2:04:10 PM	855.7562
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	很有趣	4/20/2017 2:04:12 PM		4/20/2017 2:04:12 PM	857.4503
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 2:04:13 PM		4/20/2017 2:04:13 PM	858.6412
ClickButton	Lab					4/20/2017 2:04:13 PM	858.6412
ClickButton	Lab					4/20/2017 2:04:23 PM	868.5303
ClickButton	NumberedLines					4/20/2017 2:04:24 PM	869.5473
FractionGenerated	NumberedLines	line_8				4/20/2017 2:04:24 PM	869.5473
FractionChange	Denominator	line_8		1		4/20/2017 2:04:26 PM	871.4495
FractionChange	Denominator	line_8		2		4/20/2017 2:04:26 PM	871.8006
FractionChange	Denominator	line_8		3		4/20/2017 2:04:26 PM	871.9855
FractionChange	Denominator	line_8		4		4/20/2017 2:04:27 PM	872.1526
FractionChange	Denominator	line_8		5		4/20/2017 2:04:27 PM	872.3295
FractionChange	Denominator	line_8		6		4/20/2017 2:04:27 PM	872.7305
FractionChange	Denominator	line_8		7		4/20/2017 2:04:27 PM	873.0245
FractionChange	Denominator	line_8		8		4/20/2017 2:04:28 PM	873.5615
PressFraction	NumberedLines	line_8		0/8	(0.3125, 0)	4/20/2017 2:04:28 PM	874.0026
ReleaseFraction	NumberedLines	line_8		0/8	(0.3125, 0)	4/20/2017 2:04:29 PM	874.1381
FractionChange	Numerator	line_8		1		4/20/2017 2:04:29 PM	874.8264
PressFraction	NumberedLines	line_8		1/8	(0.3125, 0)	4/20/2017 2:04:30 PM	875.2971
FractionPlaced	EqOp1	line_8		1/8		4/20/2017 2:04:31 PM	876.3297
ReleaseFraction	NumberedLines	line_8		1/8	(0.3125, 0)	4/20/2017 2:04:31 PM	876.3297
ClickButton	OpenTaskDescription					4/20/2017 2:04:32 PM	877.5851
PressFraction	NumberedLines	line_8		1/8	(0.3125, 0)	4/20/2017 2:04:38 PM	883.7858
FractionTrashed	NumberedLines	line_8		1/8		4/20/2017 2:04:42 PM	887.7709
ReleaseFraction	NumberedLines	line_8		1/8	(-11.8, 8.6)	4/20/2017 2:04:42 PM	887.7709
ClickButton	Set/Stars					4/20/2017 2:04:44 PM	889.6732
FractionGenerated	StarSets	starset_9				4/20/2017 2:04:44 PM	889.6732
FractionChange	Denominator	starset_9		1		4/20/2017 2:04:50 PM	895.601
FractionChange	Denominator	starset_9		2		4/20/2017 2:04:50 PM	895.8259
ClickButton	OpenTaskDescription					4/20/2017 2:04:52 PM	897.184
PressFraction	StarSets	starset_9		0/2	(1.28125, 0)	4/20/2017 2:05:01 PM	906.1917
ReleaseFraction	StarSets	starset_9		0/2	(1.28125, 0)	4/20/2017 2:05:01 PM	906.3453
FractionChange	Denominator	starset_9		3		4/20/2017 2:05:02 PM	907.4344
PressFraction	StarSets	starset_9		0/3	(1.28125, 0)	4/20/2017 2:05:02 PM	907.8645
ReleaseFraction	StarSets	starset_9		0/3	(1.28125, 0)	4/20/2017 2:05:02 PM	908.0077
FractionChange	Numerator	starset_9		1		4/20/2017 2:05:03 PM	908.7604
PressFraction	StarSets	starset_9		1/3	(1.28125, 0)	4/20/2017 2:05:04 PM	909.2245
OperationResult	Equivalence			<		4/20/2017 2:05:05 PM	910.3206
FractionPlaced	EqOp2	starset_9		1/3		4/20/2017 2:05:05 PM	910.3206
ReleaseFraction	StarSets	starset_9		1/3	(1.28125, 0)	4/20/2017 2:05:05 PM	910.3206
EndStateReached						4/20/2017 2:05:08 PM	913.3226
EndStateReached						4/20/2017 2:05:08 PM	913.3226
EndStateReached						4/20/2017 2:05:08 PM	913.3226
PopupAfterTaskReflection						4/20/2017 2:05:09 PM	914.6976
PopupAfterTaskReflection_Response	RadioSelected	Panel_1	简单	4/20/2017 2:05:12 PM		4/20/2017 2:05:12 PM	917.834
PopupAfterTaskReflection_Response	RadioSelected	Panel_2	让我乐在其中	4/20/2017 2:05:13 PM		4/20/2017 2:05:13 PM	918.9918
PopupAfterTaskReflection_Response	ContinueSelected			4/20/2017 2:05:14 PM		4/20/2017 2:05:14 PM	920.0514
ClickButton	Lab					4/20/2017 2:05:14 PM	920.0514
ClickButton	Lab					4/20/2017 2:05:21 PM	926.2
ClickButton	NumberedLines					4/20/2017 2:05:22 PM	927.3203
FractionGenerated	NumberedLines	line_10				4/20/2017 2:05:22 PM	927.3203
PressFraction	NumberedLines	line_10		0/0	(1.3125, 1)	4/20/2017 2:05:26 PM	931.184
FractionTrashed	NumberedLines	line_10		0/0		4/20/2017 2:05:27 PM	932.4643
ReleaseFraction	NumberedLines	line_10		0/0	(-12.13333, 8.6)	4/20/2017 2:05:27 PM	932.4643
ClickButton	OpenTaskDescription					4/20/2017 2:05:29 PM	934.3603
ClickButton	LiquidMeasures					4/20/2017 2:05:30 PM	935.6313
FractionGenerated	LiquidMeasures	liquid_11				4/20/2017 2:05:30 PM	935.6313
FractionChange	Denominator	liquid_11		1		4/20/2017 2:05:37 PM	942.5847
FractionChange	Denominator	liquid_11		2		4/20/2017 2:05:37 PM	942.743
FractionChange	Denominator	liquid_11		3		4/20/2017 2:05:37 PM	942.8956
FractionChange	Denominator	liquid_11		4		4/20/2017 2:05:37 PM	943.0734
FractionChange	Denominator	liquid_11		5		4/20/2017 2:05:38 PM	943.2386
FractionChange	Denominator	liquid_11		6		4/20/2017 2:05:38 PM	943.7196
FractionChange	Denominator	liquid_11		7		4/20/2017 2:05:38 PM	943.9509
FractionChange	Denominator	liquid_11		8		4/20/2017 2:05:39 PM	945.0707
PressFraction	LiquidMeasures	liquid_11		0/8	(0.9375, -1)	4/20/2017 2:05:41 PM	946.3846
ReleaseFraction	LiquidMeasures	liquid_11		0/8	(0.9375, -1)	4/20/2017 2:05:41 PM	946.4955
FractionChange	Numerator	liquid_11		1		4/20/2017 2:05:42 PM	947.2728
FractionChange	Numerator	liquid_11		2		4/20/2017 2:05:42 PM	947.4548
FractionChange	Numerator	liquid_11		3		4/20/2017 2:05:42 PM	947.6386
FractionChange	Numerator	liquid_11		4		4/20/2017 2:05:42 PM	947.8326
FractionChange	Numerator	liquid_11		5		4/20/2017 2:05:43 PM	948.1037
FractionChange	Numerator	liquid_11		6		4/20/2017 2:05:43 PM	948.4167
PressFraction	LiquidMeasures	liquid_11		6/8	(0.9375, -1)	4/20/2017 2:05:44 PM	949.4785
FractionPlaced	EqOp2	liquid_11		6/8		4/20/2017 2:05:46 PM	951.1687
ReleaseFraction	LiquidMeasures	liquid_11		6/8	(0.9375, -1)	4/20/2017 2:05:46 PM	951.1687
FractionChange	Numerator	liquid_11		5		4/20/2017 2:05:50 PM	955.2169
FractionChange	Numerator	liquid_11		4		4/20/2017 2:05:50 PM	955.4082
FractionChange	Numerator	liquid_11		3		4/20/2017 2:05:50 PM	955.8809
FractionChange	Numerator	liquid_11		2		4/20/2017 2:05:51 PM	956.3926
PressFraction	LiquidMeasures	liquid_11		2/8	(0.9375, -1)	4/20/2017 2:05:53 PM	958.0969
ReleaseFraction	LiquidMeasures	liquid_11		2/8	(0.9375, -1)	4/20/2017 2:05:53 PM	958.2255
FractionChange	Denominator	liquid_11		7		4/20/2017 2:05:53 PM	959.0469
FractionChange	Denominator	liquid_11		6		4/20/2017 2:05:54 PM	959.2471
FractionChange	Denominator	liquid_11		5		4/20/2017 2:05:54 PM	959.5599
FractionChange	Denominator	liquid_11		4		4/20/2017 2:05:54 PM	960.0462
FractionChange	Denominator	liquid_11		3		4/20/2017 2:05:55 PM	960.425
PressFraction	LiquidMeasures	liquid_11		2/3	(0.9375, -1)	4/20/2017 2:05:55 PM	960.9109
FractionPlaced	EqOp2	liquid_11		2/3		4/20/2017 2:05:56 PM	961.942
ReleaseFraction	LiquidMeasures	liquid_11		2/3	(0.9375, -1)	4/20/2017 2:05:56 PM	961.942
PressFraction	LiquidMeasures	liquid_11		2/3	(0.9375, -1)	4/20/2017 2:06:05 PM	970.1592
ReleaseFraction	LiquidMeasures	liquid_11		2/3	(0.9375, -1)	4/20/2017 2:06:05 PM	970.2792
FractionChange	Denominator	liquid_11		4		4/20/2017 2:06:05 PM	970.9523
FractionChange	Denominator	liquid_11		5		4/20/2017 2:06:06 PM	971.1505
FractionChange	Denominator	liquid_11		6		4/20/2017 2:06:06 PM	971.3203
FractionChange	Denominator	liquid_11		7		4/20/2017 2:06:07 PM	972.4303
FractionChange	Denominator	liquid_11		8		4/20/2017 2:06:07 PM	972.6324
PressFraction	LiquidMeasures	liquid_11		2/8	(0.9375, -1)	4/20/2017 2:06:08 PM	973.1523
ReleaseFraction	LiquidMeasures	liquid_11		2/8	(0.9375, -1)	4/20/2017 2:06:08 PM	973.2554
FractionChange	Numerator	liquid_11		3		4/20/2017 2:06:08 PM	973.9109
FractionChange	Numerator	liquid_11		4		4/20/2017 2:06:09 PM	974.0966
FractionChange	Numerator	liquid_11		5		4/20/2017 2:06:09 PM	974.2624
FractionChange	Numerator	liquid_11		6		4/20/2017 2:06:09 PM	974.8064
PressFraction	LiquidMeasures	liquid_11		6/8	(0.9375, -1)	4/20/2017 2:06:10 PM	975.2144
OperationResult	Equivalence			>		4/20/2017 2:06:10 PM	975.7994
FractionPlaced	EqOp1	liquid_11		6/8		4/20/2017 2:06:10 PM	975.7994
ReleaseFraction	LiquidMeasures	liquid_11		6/8	(0.9375, -1)	4/20/2017 2:06:10 PM	975.7994
ClickButton	OpenTaskDescription					4/20/2017 2:06:36 PM	1001.311
ClickButton	OpenTaskDescription					4/20/2017 2:06:49 PM	1014.686
PressFraction	LiquidMeasures	liquid_11		6/8	(0.9375, -1)	4/20/2017 2:07:43 PM	1069.004
ReleaseFraction	LiquidMeasures	liquid_11		6/8	(-1.366667, -1.666667)	4/20/2017 2:07:53 PM	1078.268
ClickButton	OpenTaskDescription					4/20/2017 2:07:54 PM	1080.084
TaskChange_warningMessage	ClickForward			1		4/20/2017 2:07:56 PM	1081.797
TaskChange_warningMessage	ClickForward			2		4/20/2017 2:08:22 PM	1107.219
PressFraction	LiquidMeasures	liquid_11		6/8	(-1.366667, -1.666667)	4/20/2017 2:13:52 PM	1437.371
ReleaseFraction	LiquidMeasures	liquid_11		6/8	(-1.366667, -1.666667)	4/20/2017 2:13:52 PM	1437.5
FractionChange	Denominator	liquid_11		9		4/20/2017 2:13:53 PM	1438.305
